epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,6815.91,1.53039,1.24268,0.97911,0.8084,0.91429,0.94159,0.55635,1.72028,1.03561,1.11588,0.00134,0.00134,0.00134
62,6969.5,1.56296,1.2555,0.97341,0.78906,0.82857,0.82617,0.43625,1.98297,1.31829,1.14083,0.001329,0.001329,0.001329
63,7095.56,1.53342,1.2126,0.97743,0.89688,0.85714,0.89283,0.44918,2.07816,1.17789,1.28763,0.001318,0.001318,0.001318
64,7209.54,1.54412,1.23601,0.97828,0.90593,0.82857,0.86619,0.44634,2.08285,1.08205,1.22062,0.001307,0.001307,0.001307
65,7326.66,1.50533,1.22405,0.97178,0.90393,0.80665,0.89789,0.50566,1.8077,1.04893,1.25919,0.001296,0.001296,0.001296
66,7461.17,1.5238,1.20025,0.97146,0.87341,0.88571,0.87886,0.55116,1.74291,1.05688,1.29612,0.001285,0.001285,0.001285
67,7571.3,1.50208,1.20637,0.95367,0.8767,0.81284,0.89082,0.50094,2.01576,1.03656,1.31925,0.001274,0.001274,0.001274
68,7666.64,1.49777,1.21232,0.96325,0.81066,0.88571,0.89463,0.51409,1.78211,1.1345,1.29747,0.001263,0.001263,0.001263
69,7761.86,1.53223,1.22432,0.97243,0.96945,0.90673,0.9133,0.49884,1.88835,1.47906,1.01589,0.001252,0.001252,0.001252
70,7895.16,1.4997,1.21023,0.96135,0.86329,0.85714,0.84866,0.46905,1.81574,1.16391,1.08951,0.001241,0.001241,0.001241
71,8011.15,1.52253,1.21113,0.97882,0.89937,0.8,0.85442,0.47495,2.06079,1.13838,1.2242,0.00123,0.00123,0.00123
72,8158.85,1.51527,1.16885,0.98196,0.94759,0.91429,0.91397,0.53333,1.69544,1.22654,1.14094,0.001219,0.001219,0.001219
73,8280.63,1.48301,1.17247,0.97386,0.90278,0.85714,0.90523,0.48031,1.83971,0.96406,1.16824,0.001208,0.001208,0.001208
74,8392.55,1.48453,1.18619,0.96016,0.96227,0.88571,0.91288,0.5681,1.67917,1.23413,1.04371,0.001197,0.001197,0.001197
75,8506.66,1.50873,1.16358,0.94505,0.82569,0.81223,0.89974,0.45969,1.86945,1.1174,1.21014,0.001186,0.001186,0.001186
76,8620.61,1.44281,1.12478,0.95991,0.84627,0.85714,0.87071,0.56309,1.64749,1.48743,1.073,0.001175,0.001175,0.001175
77,50.0717,1.49368,1.16676,1.00173,0.96384,0.76185,0.89266,0.56163,1.6987,1.11445,0.97977,0.001164,0.001164,0.001164
78,97.3605,1.52932,1.11283,0.95564,1,0.87886,0.95595,0.52365,1.82874,1.2727,1.16736,0.001153,0.001153,0.001153
79,147.48,1.49905,1.15541,0.96993,0.91246,0.89363,0.91118,0.5508,1.61354,1.0567,1.08137,0.001142,0.001142,0.001142
80,204.541,1.52259,1.10999,0.93739,0.85603,0.91429,0.90181,0.49743,1.96107,1.26715,1.21722,0.001131,0.001131,0.001131
81,255.254,1.51752,1.17718,0.96778,0.89282,0.82857,0.89982,0.46612,1.96073,1.06619,1.01876,0.00112,0.00112,0.00112
82,307.152,1.43965,1.09376,0.94592,0.96098,0.88571,0.9045,0.51291,1.91258,1.26148,1.22569,0.001109,0.001109,0.001109
83,359.493,1.49301,1.09856,0.95192,0.90096,0.85714,0.87841,0.54508,1.68784,1.15562,1.12119,0.001098,0.001098,0.001098
84,420.743,1.45341,1.09528,0.93726,0.93286,0.88571,0.90352,0.54735,1.75426,1.15887,1.17863,0.001087,0.001087,0.001087
85,486.497,1.41347,1.0714,0.92851,0.96637,0.82123,0.89294,0.58518,1.55471,1.06521,1.02297,0.001076,0.001076,0.001076
86,543.704,1.49452,1.10978,0.93207,0.91132,0.88099,0.91675,0.54802,1.76551,1.24916,1.18599,0.001065,0.001065,0.001065
87,607.755,1.43965,1.08794,0.96207,0.85128,0.81792,0.83513,0.49227,1.68854,1.12665,1.0794,0.001054,0.001054,0.001054
88,667.194,1.41347,1.0591,0.93252,0.88511,0.88061,0.90112,0.53987,1.70257,1.2643,1.14474,0.001043,0.001043,0.001043
89,731.367,1.43151,1.02806,0.92997,0.88402,0.87129,0.89882,0.56569,1.66828,1.24073,1.15167,0.001032,0.001032,0.001032
90,793.334,1.42223,1.04272,0.92713,0.9676,0.85347,0.90894,0.54162,1.75914,1.40211,1.05693,0.001021,0.001021,0.001021
91,853.707,1.4386,1.08767,0.92522,0.91182,0.88571,0.90546,0.49939,1.77572,1.36282,1.00167,0.00101,0.00101,0.00101
92,912.113,1.40479,1.08467,0.93172,0.85375,0.82857,0.86396,0.52641,1.70752,1.18646,1.2043,0.000999,0.000999,0.000999
93,999.618,1.45921,1.07699,0.9218,0.96543,0.79802,0.8834,0.55258,1.7514,1.22428,1.13844,0.000988,0.000988,0.000988
94,1071.55,1.40952,1.17612,0.91563,0.94064,0.90572,0.91303,0.55894,1.56723,1.10051,1.09378,0.000977,0.000977,0.000977
