epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,1642.48,1.44381,0.95926,0.91798,0.97365,0.78571,0.89372,0.65216,1.21391,0.85119,0.87664,0.0011882,0.0011882,0.0011882
84,1656.44,1.35258,0.93037,0.93533,0.83793,0.73991,0.83034,0.58386,1.32175,0.85368,0.85308,0.0011783,0.0011783,0.0011783
85,1671.51,1.36533,0.91503,0.92468,0.94868,0.78571,0.85175,0.61629,1.27046,0.91328,0.91582,0.0011684,0.0011684,0.0011684
86,1687.31,1.44785,0.95217,0.91603,0.95359,0.64286,0.76409,0.61355,1.2096,1.05509,0.82125,0.0011585,0.0011585,0.0011585
87,1702.63,1.30722,0.90017,0.94886,0.76253,0.78571,0.78255,0.4913,1.35592,1.1771,0.79235,0.0011486,0.0011486,0.0011486
88,1717.28,1.32474,0.92212,0.91428,0.79576,0.92857,0.8578,0.59101,1.33735,1.10249,0.80907,0.0011387,0.0011387,0.0011387
89,1731.41,1.32665,0.86035,0.92246,0.82041,0.71429,0.74796,0.4564,1.42425,1.03806,0.86557,0.0011288,0.0011288,0.0011288
90,1746.85,1.27812,0.88091,0.90524,0.90436,0.78571,0.80907,0.61949,1.22761,0.91976,0.86553,0.0011189,0.0011189,0.0011189
91,1763.09,1.29077,0.90595,0.90378,0.91571,0.77665,0.83968,0.60214,1.31378,0.9105,0.80551,0.001109,0.001109,0.001109
92,1777.66,1.21437,0.84268,0.90899,1,0.69331,0.80389,0.60737,1.25966,0.90012,0.83831,0.0010991,0.0010991,0.0010991
93,1791.11,1.20041,0.88045,0.94728,1,0.7679,0.83971,0.60512,1.23983,0.87876,0.89235,0.0010892,0.0010892,0.0010892
94,1807.58,1.2698,0.92538,0.90407,0.89633,0.64286,0.73566,0.52455,1.53824,1.21378,0.98069,0.0010793,0.0010793,0.0010793
95,1823.21,1.28776,0.86348,0.93189,0.98171,0.64286,0.71775,0.55037,1.31003,1.1188,0.95301,0.0010694,0.0010694,0.0010694
96,1838.01,1.29695,0.91966,0.89759,0.9149,0.76907,0.83242,0.6266,1.19496,0.91459,0.80646,0.0010595,0.0010595,0.0010595
97,1855.19,1.30096,0.89186,0.91974,0.84086,0.78571,0.82567,0.60618,1.19902,1.0423,0.78426,0.0010496,0.0010496,0.0010496
98,1870.31,1.27129,0.87486,0.90433,0.88667,0.78571,0.84204,0.59844,1.27182,0.93634,0.84391,0.0010397,0.0010397,0.0010397
99,1886.7,1.15371,0.78103,0.88954,0.91513,0.77124,0.8895,0.68818,1.13492,0.84104,0.80973,0.0010298,0.0010298,0.0010298
100,1900.38,1.28471,0.82768,0.89852,0.94986,0.78571,0.85836,0.62956,1.29463,0.90607,0.89749,0.0010199,0.0010199,0.0010199
101,1919.05,1.2001,0.85175,0.89893,0.8549,0.78571,0.86533,0.66302,1.09284,0.94217,0.82237,0.00101,0.00101,0.00101
102,1935.76,1.24393,0.87456,0.90698,0.89141,0.78571,0.88175,0.64874,1.2061,0.89366,0.78366,0.0010001,0.0010001,0.0010001
103,1951.78,1.20672,0.84508,0.88796,0.91475,0.76766,0.81043,0.55653,1.42435,1.13022,0.84362,0.0009902,0.0009902,0.0009902
104,1970.5,1.18377,0.83835,0.89593,0.84562,0.78272,0.77313,0.59111,1.21779,0.94153,0.89428,0.0009803,0.0009803,0.0009803
105,1986.76,1.10947,0.82976,0.90354,0.91652,0.78435,0.77541,0.55509,1.19794,0.94765,0.83132,0.0009704,0.0009704,0.0009704
106,2006.72,1.18826,0.82526,0.90026,0.83305,0.78571,0.83278,0.60666,1.1482,0.86199,0.76859,0.0009605,0.0009605,0.0009605
107,2024.27,1.21725,0.83093,0.87857,0.84472,0.85714,0.87796,0.61601,1.25288,0.8722,0.75868,0.0009506,0.0009506,0.0009506
108,2039.19,1.17347,0.8637,0.89459,0.95107,0.71429,0.85508,0.59544,1.22681,0.78507,0.74996,0.0009407,0.0009407,0.0009407
